latitude,longitude,type
50.4705361,30.5122155,Synagogue
49.9925185,36.235131,Synagogue
48.2846302,25.9448544,Synagogue
50.4385804,30.5204411,Synagogue
49.3534058,23.5114037,Synagogue
46.479732,30.741972,Memorial
49.7974928,30.1190289,Memorial
50.4758679,30.4578422,Memorial
50.454055,26.9047658,Memorial
50.0573729,23.972427,Synagogue
49.8586199,23.9865931,Memorial
49.8515152,24.0246749,Memorial
50.0046529,36.2452546,Memorial
49.9325943,36.439329,Memorial
50.4167843,30.5477318,Memorial
46.4726626,30.7243315,Memorial
49.8555429,23.9807475,Memorial
46.4715899,30.7317357,Memorial
48.97447,27.7851146,Memorial
50.4382411,30.5540056,Memorial
